ORF,O1,O2,N1,N2,S1,S2,Q1,Q2
CAGL0E05104g,173,90,140,140,55,111,151,99
CAGL0E05126g,572,407,460,343,252,355,410,246
CAGL0E05148g,728,351,1296,1735,347,483,1408,543
CAGL0E05170g,868,569,976,1583,616,447,1100,613
CAGL0E05192g,52,44,53,53,27,45,58,35
CAGL0E05214g,171,130,170,166,100,131,172,108
CAGL0E05236g,84,77,62,36,28,54,57,44
CAGL0E05258g,516,371,469,361,223,275,420,274
CAGL0E05280g,470,319,419,399,306,261,385,274
CAGL0E05302g,673,547,883,922,321,415,999,652
CAGL0E05324g,1414,972,1504,1239,440,759,1479,848
CAGL0E05346g,3538,2891,3406,3180,1865,2098,4054,2877
CAGL0E05368g,346,267,312,274,113,264,286,206
CAGL0E05390g,11325,6543,9597,6640,3860,5948,8647,5262
CAGL0E05412g,2207,1369,2019,1656,752,1334,1963,1099
CAGL0E05434g,1160,814,891,647,356,633,778,538
CAGL0E05456g,564,514,655,207,89,150,247,365
CAGL0E05478g,4581,3158,3321,1729,1279,2509,2838,2544
CAGL0E05500g,13666,7970,9308,5015,3119,6311,7796,5712
CAGL0E05522g,1633,1334,1478,952,344,992,1273,1106
CAGL0E05544r,0,0,0,0,0,0,0,0
CAGL0E05566g,696,613,1643,1008,199,439,1241,904
CAGL0E05588g,370,276,795,784,160,262,664,376
CAGL0E05610g,4061,2512,7756,9648,4004,3362,6364,2141
CAGL0E05632g,609,356,742,634,196,169,712,428
CAGL0E05654g,2091,1643,1980,1147,1528,1909,1191,749
CAGL0E05676g,4002,2527,2593,1856,1293,2263,2121,1446
CAGL0E05698g,504,258,384,250,114,240,269,227
CAGL0E05720g,232,205,227,190,99,190,281,161
CAGL0E05742g,4542,3142,3537,2637,1266,2858,3688,2287
CAGL0E05764g,3112,2223,2020,1268,823,1939,1952,1428
CAGL0E05786g,576,456,423,316,262,403,401,307
CAGL0E05808g,846,593,712,636,448,529,805,394
CAGL0E05830g,1910,1218,1457,1324,839,952,1568,918
CAGL0E05874g,8076,5415,4960,2583,2693,5935,3781,2973
CAGL0E05896g,3902,2665,3174,3084,2047,2210,3804,2201
CAGL0E05918g,293,184,441,412,144,288,532,274
CAGL0E05940g,2732,1833,3426,2792,879,1310,3028,1686
CAGL0E05962g,130,83,243,283,50,61,211,125
CAGL0E05984g,20,26,1001,954,7,8,164,54
CAGL0E06006g,513,351,545,642,365,374,617,325
CAGL0E06028g,1688,1087,1465,1384,663,1131,1822,912
CAGL0E06050g,2080,1662,1829,1242,579,1404,2025,1351
CAGL0E06072g,357,324,485,470,133,129,558,353
CAGL0E06094g,0,1,1,0,3,2,0,0
CAGL0E06116g,376,276,421,296,71,111,336,215
CAGL0E06138g,41378,21488,23134,26624,21873,27238,32801,11604
CAGL0E06160g,4090,2914,3708,2663,1679,2558,3101,1963
CAGL0E06182g,251,225,314,238,89,161,218,200
CAGL0E06204g,893,541,937,907,354,532,991,530
CAGL0E06226g,5567,3182,5480,5954,2358,3091,6095,3132
CAGL0E06248g,313,213,272,207,105,191,198,167
CAGL0E06270g,1540,1099,1597,1288,622,1100,1700,1150
CAGL0E06292g,4,4,646,120,0,8,122,229
CAGL0E06314g,1594,1088,1108,944,491,913,1277,865
CAGL0E06336g,1757,1141,1673,1280,535,1273,1664,794
CAGL0E06358g,72154,58980,62718,51450,34605,35932,59952,51459
CAGL0E06380g,101,64,306,409,78,71,234,81
CAGL0E06402g,1,0,0,0,0,0,1,0
CAGL0E06424g,4336,3223,5459,5299,2982,2954,4780,3376
